Slots,Pair,Events,Fraction (%),μ (ps),μ err (ps),CFD50 fit (ps),CFD50 fit err,CFD50 std (ps),CFD50 std err,Best fit CFD,Best fit (ps),Best fit err,Best std CFD,Best std (ps),Best std err
2-4,ch19-ch29,117,0.209707484944078,-24.712153268224,13.89035395494219,88.21660379240376,8.7237081715449,75.30485639112672,4.965455185618289,55/40,50.226930873228255,5.461451744875286,75/30,29.51900083443491,4.554880716287093
3-4,ch31-ch21,603,1.0808001147117867,-24.210723954833554,3.450911406949628,57.93862492992989,1.8644825687788449,60.74061323126079,1.7667310181371882,80/50,48.18378843585965,3.2273280730578104,85/45,49.24911664291192,3.869376038405586
3-4,ch31-ch28,42,0.07527960997992544,-74.3382261846791,80.04669786298685,137.59030527348247,85.43454985600705,69.44370715108862,7.66877455698945,45/55,54.75537776444421,10.072102690306888,55/25,51.05045271475822,6.190776728780824
3-4,ch36-ch26,172,0.30828792658445653,-35.372962502892825,7.910407666335016,63.6350881622401,5.182123683270517,66.03178130399108,3.668432294666171,25/55,50.65839040930426,4.768347757404124,85/50,43.709628831900204,6.74454215436184
3-4,ch36-ch28,56,0.10037281330656725,-20.05877825680708,28.27481886914564,111.16883753344358,18.172160445102367,88.23294989970702,8.490219562665102,30/10,67.84950997919934,11.410384492670342,45/20,74.04524879037665,7.331572115888802
3-4,ch36-ch29,3188,5.714080871809578,23.311210260423646,1.848409090124528,71.69953883976243,1.0143882325879099,69.92921353134919,0.8811651565984014,10/80,54.57494503128443,2.500757473124403,75/85,35.44284953790885,3.655650804135284
3-4,ch37-ch21,33,0.05914826498422713,-26.00230689138214,25.059945940250795,73.62484736767972,22.718357585688832,58.71947746766611,7.2278680310223535,50/10,53.39523718757171,12.248203906815846,10/10,44.977568738961374,6.12067184896729
3-4,ch38-ch21,45,0.08065672497849154,-136.59871060215994,58.7871714531804,119.7426225480309,41.99397045143603,77.23265773179237,8.328211665091153,20/15,60.51288756686121,12.33216453723686,65/10,57.18805987867029,9.042226209134531
3-4,ch38-ch28,71,0.12725838829939776,-36.7130037258413,26.1837147211856,100.58040730412688,21.026966004261226,71.77314432493893,6.065937830146601,45/10,35.49391883988489,5.039117632678886,60/15,44.280437060471854,4.472999617051966
3-4,ch38-ch29,642,1.1507026096931459,10.890872127198099,3.1358060570080464,53.625082572282246,1.8540405804922182,54.40589166810628,1.5500316943245012,35/60,47.04043397694059,2.0229071794556734,35/45,51.50564414528197,1.4831366572112847
3-4,ch39-ch28,22,0.03943217665615142,-26.495504494748953,220.45568445434424,253.20188657111296,188.51241853183663,,,40/50,90.2499753494515,26.485594768764845,50/50,inf,
3-4,ch39-ch29,7625,13.666833954688844,-0.6137414812987212,1.0135328691088323,62.089935172240374,0.5469169468565414,60.69508614496439,0.49389689876802934,80/80,28.75880094451269,3.074647112811234,85/85,15.857100096368347,2.2887752523012765
